image_name,license_plate_text,confidence
test_image (1).jpg,GA1145082,0.7795236775075314
test_image (1).jpg,GA11A2178,0.6767795344651072
test_image (1).jpg,GA02400125,0.643497228484748
test_image (10).jpg,0A06F0033,0.7386164319273643
test_image (10).jpg,GK03Z8634,0.663516394171048
test_image (2).jpg,GA04HZ5261,0.8029158105066548
test_image (2).jpg,GA07P5028,0.9908638019981049
test_image (2).jpg,GA03AF5077,0.48793846813893166
test_image (3).jpg,002F7743,0.8305892237208056
test_image (3).jpg,GA03A0023,0.6533807074193171
test_image (4).jpg,GA03R5581,0.9916686891358443
test_image (4).jpg,GI03Z86J4,0.45313442532932413
test_image (4).jpg,GA03R7113,0.9803500463052979
test_image (4).jpg,GA05J0593,0.9578578420920061
test_image (5).jpg,GA03AF9280,0.880445952048827
test_image (6).jpg,MP09A5966,0.4853252599295164
test_image (7).jpg,GA03AFGA47,0.8149148644042575
test_image (8).jpg,GA02Y2530,0.7415097250029696
test_image (8).jpg,HH02GE4458,0.8003027786159985
test_image (9).jpg,GA09A8743,0.5114079916527323
